Claim,Claim Count,Issue
against Tel Aviv University's presence in New Jersey; for arms embargo on Israel; for humanitarian aid in Gaza; for ending Israel's attacks on Lebanon and Gaza and the West Bank; for Palestinian liberation,0,Gaza
against Brooklyn Board of Elections' failure to properly count write-in votes for Hind Rajab in 2024 elections; in remembrance of lives lost in Gaza; for Palestinian liberation,0,Gaza
against immigrant deportations; against ICE raids on local workers,0,Immigration
against immigrant deportations; against ICE raids on local workers,0,Workers
for Palestinian liberation; for climate action,0,Environment
for Palestinian liberation; for climate action,0,Gaza
for holding San Pablo police officer Jonah Norman accountable for hit-and-run incident; against police brutality; for police accountability,0,Racial Justice
against Chevron's complicity in genocide in Gaza; for boycotting Chevron; for Palestinian liberation,0,Gaza
against College Republicans United event at Arizona State University featuring ICE; against immigrant deportations; against fascism; against white supremacy; against antisemitism,0,Immigration
against Textron Aviation's complicity in genocide in Gaza and support for police and border surveillance in the U.S.; for Palestinian liberation,0,Gaza
against Textron Aviation's complicity in genocide in Gaza and support for police and border surveillance in the U.S.; for Palestinian liberation,0,Immigration
against immigrant deportations and family separations; against U.S. imperialism; against racism; againt anti-trans legislation and violence; for Palestinian liberation,0,Gaza
against immigrant deportations and family separations; against U.S. imperialism; against racism; againt anti-trans legislation and violence; for Palestinian liberation,0,Racial Justice
against immigrant deportations and family separations; against U.S. imperialism; against racism; againt anti-trans legislation and violence; for Palestinian liberation,0,LGBTplus
against immigrant deportations and family separations; for Palestinian liberation,0,Gaza
against immigrant deportations and family separations; for Palestinian liberation,0,Immigration
against march for trans rights,1,LGBTplus
for mass deportation; against illegal immigration,0,Immigration
in solidarity with immigrants; against immigrant deportations; for abolishing ICE,0,Immigration
in support of Donald Trump's immigration policies; against pro-immigrants demonstration,0,Immigration
against President Trump's immigration policies; against ICE,0,Immigration
against Donald Trump's immigration policies; against Missouri Illegal Alien Certified Bounty Hunter Program Senate Bill 72 and Senate Bill 58,0,Immigration
against Donald Trump's policies,1,Trump
for immigrants' rights; against President Trump,0,Immigration
against immigrant deportations and family separation; against ICE raids,0,Immigration
against President Trump's executive orders; for immigrants' rights; for trans and queer youth; for reproductive justice; for environmental justice; for universal health care,0,Environment
against President Trump's executive orders; for immigrants' rights; for trans and queer youth; for reproductive justice; for environmental justice; for universal health care,0,Immigration
against President Trump's executive orders; for immigrants' rights; for trans and queer youth; for reproductive justice; for environmental justice; for universal health care,0,LGBTplus
against President Trump's executive orders; for immigrants' rights; for trans and queer youth; for reproductive justice; for environmental justice; for universal health care,0,Healthcare
against U.S. support for Israel; against Zionism; for accountability for Israel's war crimes in Gaza; for Palestinian liberation,0,Gaza
against pro-immigrant rally,1,Immigration
for permanent and unconditional ceasefire in Gaza; for Palestinian liberation,0,Gaza
against President Trump; for immigrant rights; for women's rights; for education; for LGBTQ+ rights,0,Abortion
against President Trump; for immigrant rights; for women's rights; for education; for LGBTQ+ rights,0,LGBTplus
against President Trump; for immigrant rights; for women's rights; for education; for LGBTQ+ rights,0,Immigration
against the establishment of possible ICE facility in Pflugerville; against immigrant deportations; against ICE,0,Immigration
in support of Donald Trump's immigration policies; against anti-ICE demonstration,0,Immigration
against Chevron's complicity in genocide in Gaza; for boycotting Chevron; for Palestinian liberation; for climate action,0,Environment
against Chevron's complicity in genocide in Gaza; for boycotting Chevron; for Palestinian liberation; for climate action,0,Gaza
for immigrants' rights,336,Immigration
for Palestinians' right of return; for Palestinian liberation,0,Gaza
for release of Dr. Hussam Abu Safiya and other Palestinian healthcare workers held by Israel; in remembrance of Hind Rajab; for Palestinian liberation,0,Gaza
for release of Dr. Hussam Abu Safiya and other Palestinian healthcare workers held by Israel; in remembrance of Hind Rajab; for Palestinian liberation,0,Workers
for release of Dr. Hussam Abu Safiya and other Palestinian healthcare workers held by Israel; in remembrance of Hind Rajab; for Palestinian liberation,0,Healthcare
against President Trump and Elon Musk's cooptation of U.S. Office of Personnel Management; for democracy; against corruption,0,Musk/DOGE
against immigrant rights demonstration,1,Immigration
against immigrant deportations and family separations; against ICE raids; for protection from national deportation mandates; for making Baton Rouge a sanctuary city,0,Immigration
for racial justice; against police brutality and state violence; against patriarchy,0,Racial Justice
against immigrant deportations and family separations; against ICE raids; for citizenship for all undocumented migrants,0,Immigration
for permanent ceasefire in Palestine; for ending U.S. aid to Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
for white nationalism; against immigration,0,Immigration
against the ICE's presence in Ithaca; against Donald Trump's immigration policies,0,Immigration
for immigration reform; for a pathway to citizenship for all undocumented migrants,0,Immigration
in remembrance of Hind Rajab and all victims of genocide in Gaza; for arms embargo on Israel; for Palestinian liberation,0,Gaza
against Israel's attacks on the West Bank and Gaza and Lebanon; for divesting from Israel; for sanctions on Israel; for ending Israeli occupation and apartheid; for Palestinians' right of return; for Palestinian liberation,0,Gaza
against genocide in Gaza; for Palestinian liberation; for collective liberation; against imperialism; against immigrant deportations; against ICE raids in Inland Empire,0,Gaza
against genocide in Gaza; for Palestinian liberation; for collective liberation; against imperialism; against immigrant deportations; against ICE raids in Inland Empire,0,Immigration
against an Evening for Gaza fundraiser event; for release of hostages held by Hamas; in solidarity with Israel,0,Gaza
against U.S. Senator Ron Wyden's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against immigrant deportations; against ICE,0,Immigration
in support of activist Thairie Ritchie who self-immolated at the Black Lives Matter mural in Santa Cruz on Jan. 20,1,Racial Justice
against immigrant deportations; against ICE; against hate,0,Immigration
for gender-affirming health care for transgender children,1,LGBTplus
for gender-affirming health care for transgender children,1,Healthcare
against immigrant deportations; against President Trump's immigration policies; for immigrant rights,0,Immigration
against ICE deportations and its effects on students; for safety for immigrant students and their families,0,Immigration
in remembrance of Hind Rajab and all Palestinian children killed by Israel in Gaza; for Palestinian liberation,0,Gaza
"against The New York Times newspaper's role in spreading misinformation and enabling genocide in Gaza; for retracting ""Screams Without Words"" story; for a call from the New York Times for a U.S. arms embargo on Israel; for investigating anti-Palestinian bias in New York Times coverage; for Palestinian liberation",0,Gaza
against immigrant deportations; against ICE; against President Trump,0,Immigration
against President Trump's agenda; against Project 2025; against white supremacy; for civil rights,0,Trump
against President Trump and Elon Musk's attempted shutdown of the U.S. Agency for International Development; against Department of Government Efficiency; for democracy; against corruption,0,Musk/DOGE
for passage of the NY HEAT Act; for climate action; for renewable energy,0,Environment
for state legislation to help protect immigrants against deportations; for passage of the Protecting Sensitive Locations Act and the Maryland Data Privacy Act; for ending 287(g) agreements,0,Immigration
against visit to White House by Israel prime minister Benjamin Netanyahu; against President Trump's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
for justice for Timothy Glaze; against police brutality; against racism,0,Racial Justice
against Elon Musk; against Tesla; against Tesla company recruitment event at MSU,0,Musk/DOGE
against President Trump; against ICE raids and immigrant deportations,0,Immigration
against President Trump's immigration policies; for protections for immigrants; against immigrant deportations,0,Immigration
against visit to White House by Israeli prime minister Benjamin Netanyahu; against President Trump's support for Israel; against genocide in Gaza; for ending U.S. aid to Israel; for accountability for Israel's war crimes in Gaza; for Palestinian liberation,0,Gaza
against Allianz Global's investment in Elbit Systems; against genocide in Gaza; for Palestinian liberation,0,Gaza
for more city funding for public schools; for safe and stable schools; for closing educator wage gap; for racial justice and equity in public education,0,Racial Justice
for more city funding for public schools; for safe and stable schools; for closing educator wage gap; for racial justice and equity in public education,0,Workers
against President Trump and Elon Musk's attacks on U.S. agencies and administrative capacity,1,Musk/DOGE
in honor of Rosa Parks; against racism; against immigrant deportations,0,Racial Justice
against state senator Jessica de la Cruz's support for President Trump's immigrant deportations; against ICE,0,Immigration
"against Israel's attacks in the West Bank, against genocide in Gaza; for Palestinian liberation~",0,Gaza
"against Donald TrumpÃÂ¢ÃÂÃÂs immigration policies targeting undocumented immigrants, for the right of students to protest in solidarity with their families, against deportations breaking up hardworking families, for keeping parents and children together regardless of immigration status, against policies that instill fear in Hispanic communities, for recognizing the contributions of immigrants to American society, against government actions that criminalize people seeking a better life, for students standing up for their uncles fathers and friends, against the pain of forced family separations, for young people using their voices to advocate for justice, against ICE orders that disproportionately affect Latino families",2,Immigration
against Sugar Land city government's support for Israel; against Islamophobia; against genocide in Gaza; for Palestinian liberation,0,Gaza
against visit to White House by Israeli prime minister Benjamin Netanyahu; against President Trump's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump's abuse of executive power; against Elon Musk; for democracy; against corruption,0,Musk/DOGE
against President Trump; against Project 2025,0,Musk/DOGE
against President Trump; against Project 2025,0,Trump
in support of LGBTQ+ New Yorkers,1,LGBTplus
against President Trump; for democracy; for free speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,Environment
against President Trump; for democracy; for free speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,Abortion
against President Trump; for democracy; for free speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,LGBTplus
against President Trump; for democracy; for free speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,Gun Control
against Donald Trump; for transgender rights; for reproductive rights; against the first two weeks of the Trump administration,0,Abortion
against Donald Trump; for transgender rights; for reproductive rights; against the first two weeks of the Trump administration,0,LGBTplus
against President Trump; for human rights,0,Trump
against President Trump; against Project 2025; against Elon Musk; for Susan Collins and Angus King to oppose Trump's controversial cabinet nominees,0,Musk/DOGE
against Israel's violations of ceasefire deal; against Israel's attacks in West Bank; for divesting Johns Hopkins University from Israel; for Palestinian liberation,0,Gaza
against ICE deportations; for immigrant rights,0,Immigration
against President Trump; against fascism,0,Trump
against ICE raids and mass deportations,1,Immigration
against President Trump; against fascism; for equality,0,Trump
against University of North Carolina Chapel Hill chancellor Lee Roberts' stated intention to cooperate with ICE in detention and deportation of undocumented migrants on campus; against anti-immigrant policies; for abolishing ICE,0,Immigration
against President Trump; against Project 2025; against Elon Musk's involvement in the US government,0,Musk/DOGE
against President Trump; against Project 2025; against ICE deportations; for immigrant rights,0,Immigration
against President Trump,147,Trump
against President Trump; against Project 2025; against fascism,0,Musk/DOGE
against President Trump; against Project 2025; for democracy,0,Trump
for federal funding for the Blatnik Bridge; against President Trump; against Project 2025,0,Musk/DOGE
against President Trump; against immigration; against ICE raids,0,Immigration
against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; against sexism; against ableism,0,Immigration
against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; against sexism; against ableism,0,LGBTplus
against President Trump; against Project 2025; for immigrants' rights; against immigrant deportations,0,Immigration
against President Trump; against fascism; for democracy,0,Trump
against President Trump; for democracy; against fascism; against Project 2025; against Elon Musk,0,Musk/DOGE
against President Trump; for democracy,0,Trump
against President Trump; against racism; for immigrants' rights; for LGBTQ+ rights; for women's rights,0,Abortion
against President Trump; against racism; for immigrants' rights; for LGBTQ+ rights; for women's rights,0,Racial Justice
against President Trump; against racism; for immigrants' rights; for LGBTQ+ rights; for women's rights,0,LGBTplus
against Donald Trump; against immigrant deportation; for immigrants' rights,0,Immigration
against Donald Trump; against immigrant deportation; for immigrants' rights,0,Musk/DOGE
for the protection of birthright citizenship in Maryland; against President Trump; against ICE raids; against ICE deportations; for immigrant rights,0,Immigration
against President Trump; against Project 2025; for democracy; against Elon Musk,0,Musk/DOGE
against regent Jonathan Sures' opposition to divesting University of California from Israel; for academic boycott of Israel; for abolishing all policing on University of California Los Angeles campus; for Palestinian liberation,0,Gaza
against President Trump; against Project 2025; against fascism; for democracy,0,Trump
against UCLA Olympic Analytical Lab not providing wage increases that were promised to staff research associates; for fair pay for staff research associates; against wage theft; against unfair labor practices,0,Workers
against state and federal actions targeting LGBTQ+ people,1,LGBTplus
against Project 2025; against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; against ableism; against sexism,0,Immigration
against Project 2025; against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; against ableism; against sexism,0,LGBTplus
against Project 2025; against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; against ableism; against sexism,0,Musk/DOGE
against Project 2025; against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; for DEI,0,Immigration
against Project 2025; against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; for DEI,0,LGBTplus
for evicting Crye Precision and Easy Aerial from spaces at Brooklyn Navy Yard; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump's abuse of executive power; against Elon Musk; for democracy; against corruption; for action by Democrats,0,Musk/DOGE
against Project 2025; against President Trump; against fascism; for immigrants' rights; for diversity; for trans rights; in support of civil servants; for science; for the U.S. constitution,0,Immigration
against Project 2025; against President Trump; against fascism; for immigrants' rights; for diversity; for trans rights; in support of civil servants; for science; for the U.S. constitution,0,Musk/DOGE
against Project 2025; against President Trump; against fascism; for immigrants' rights; for diversity; for trans rights; in support of civil servants; for science; for the U.S. constitution,0,LGBTplus
for justice for Hadi Abuatela; for justice for Murod Kurdi; against police brutality; against racism,0,Racial Justice
against Project 2025; against President Trump; against fascism,0,Trump
against President Trump; for democracy; against ICE raids and immigrant deportations; against abuse of power; against trade wars,0,Immigration
against City of Portland's decision to grant a Land Use Compatibility Statement to Zenith Energy; against expansion of fossil fuel infrastructure in Portland; for climate action,0,Environment
against President Trump; for human rights; for democracy; against Project 2025,0,Trump
against ICE raids and immigrant deportations; against President Trump; against fascism,0,Immigration
against the 90 day limit at San Francisco homeless shelters; for affordable housing options; for legislation that support homeless families; for assistance for immigrant families living in homeless shelter; for ensuring San Francisco remains a sanctuary city,0,Immigration
against President Trump; against Project 2025; for LGBTQ+ rights; for reproductive rights,0,Abortion
against President Trump; against Project 2025; for LGBTQ+ rights; for reproductive rights,0,LGBTplus
against President Trump; for freedom of speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,Environment
against President Trump; for freedom of speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,Abortion
against President Trump; for freedom of speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,LGBTplus
against President Trump; for freedom of speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,Gun Control
against President Trump and the MAGA agenda; against mass deportations of immigrants; for LGBT rights; for women's rights,0,LGBTplus
against President Trump and the MAGA agenda; against mass deportations of immigrants; for LGBT rights; for women's rights,0,Abortion
against President Trump and the MAGA agenda; against mass deportations of immigrants; for LGBT rights; for women's rights,0,Musk/DOGE
against President Trump and the MAGA agenda; against mass deportations of immigrants; for LGBT rights; for women's rights,0,Immigration
against President Trump's restictions on federal funding; against President Trump's restrictions on diversity equity and inclusion policies; against grant censorship misinformation and privatization in research,0,Trump
against President Trump's abuse of executive power; for democracy,0,Trump
against President Trump; against Elon Musk,0,Musk/DOGE
against Project 2025; against President Trump; against fascism; for immigrants' rights; for LGBTQ+ rights; against racism; for public education,0,Racial Justice
against Project 2025; against President Trump; against fascism; for immigrants' rights; for LGBTQ+ rights; against racism; for public education,0,LGBTplus
against WE Energies' proposed new natural gas plant in Kenosha County; for green energy; for climate action,0,Environment
against ICE raids and immigrant deportations; for LGBTQ+ rights; against President Trump,0,Immigration
against ICE raids and immigrant deportations; for LGBTQ+ rights; against President Trump,0,LGBTplus
against President Trump and Elon Musk's attacks of U.S. Department of Labor; against Department of Government Efficiency; for democracy; against corruption; for workers' rights,0,Musk/DOGE
against President Trump and Elon Musk's attacks of U.S. Department of Labor; against Department of Government Efficiency; for democracy; against corruption; for workers' rights,0,Workers
against President Trump and Elon Musk's attacks of U.S. Department of the Treasury; against Department of Government Efficiency; for democracy; against corruption,0,Musk/DOGE
against the dismantling of USAID; against President Trump,0,Trump
against Project 2025; against President Trump,0,Trump
for Senator John Fetterman to vote no on the nomination of Russel Vought for OMB director; against Elon Musk; against President Trump; againt Project 2025,0,Musk/DOGE
against pro-Palestine demonstration,3,Gaza
against Donald Trump's immigration policies; against immigration deportations,0,Immigration
against President Trump's immigration policies,7,Immigration
against President Trump; against immigrant deportations,0,Immigration
for implementation of Bowdoin Solidarity Referendum; for divesting Bowdoin College from Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Massachusetts Institute of Technlogy's collaboration with Elbit Systems through its Industrial Liaison Program; for Palestinian liberation,0,Gaza
against Massachusetts Institute of Technlogy's collaboration with Elbit Systems through its Industrial Liaison Program; for Palestinian liberation,0,Workers
against President Trump's actions in office; against federal fudning freeze; against senate vote for Russel Vought; against project 2025,0,Musk/DOGE
against visit to Chicago by former Israeli minister of defense Yoav Gallant; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump's polices; against Governor Mike Braun's policies,0,Trump
for maintaining gender-affirming health care for transgender youth at Childrens Hospital LA,1,LGBTplus
for maintaining gender-affirming health care for transgender youth at Childrens Hospital LA,1,Healthcare
against University of Minnesota's stated intention to comply with ICE orders; against deportations of immigrant students,0,Immigration
"against the expulsion of 2 Columbia Unviersity students for disrupting a ""History of Modern Israel"" class; for Palestinian liberation",0,Gaza
"against ICE enforcement at hospitals, schools, and places of worship, for protecting immigrant access to essential services, against fear-driven policies targeting immigrant communities, for maintaining public safety and trust in institutions, against TrumpÃÂ¢ÃÂÃÂs rollback of sensitive location protections, for the passage of the Protecting Sensitive Locations Act, against intimidation that deters parents from sending children to school, for religious liberty and the sanctity of faith-based spaces",1,Immigration
in solidarity with immigrants and undocumented people; against ICE and immigrant deportations; against President Trump's executive orders,0,Immigration
"against the planned trash truck refueling station, for preserving neighborhood quality of life, against increased traffic and pollution in residential areas, for homes and green spaces over industrial expansion, against FCC EnvironmentalÃÂ¢ÃÂÃÂs facility in West Seventh, for alternative locations for waste management operations, against zoning decisions made without community input, for a thorough zoning study and public hearing, against St. PaulÃÂ¢ÃÂÃÂs fast-tracking of the facility",1,Environment
against Elon Musk's involvement in the United States Government; against Senator Cornyn's failure to uphold his constitutional duty to protect U.S. institutions from corporate overreach,0,Musk/DOGE
"against TrumpÃÂ¢ÃÂÃÂs mass deportations, for students' right to protest policies that harm their families, against ICE raids disrupting communities, for keeping families together, against the fear instilled in undocumented families, for young people standing up for justice, against policies that criminalize immigrants seeking better lives, for student activism in defense of their friends and loved ones, against a system that dehumanizes migrants, for constructive dialogue about immigration policies, against the increased enforcement tearing apart communities",2,Immigration
"against ICE presence on campus, for canceling ICE recruitment events, against university complicity with immigration enforcement, for protecting immigrant students and workers, against the university hosting DHS and ICE-affiliated agencies, for a formal apology from the administration",1,Immigration
"against ICE presence on campus, for canceling ICE recruitment events, against university complicity with immigration enforcement, for protecting immigrant students and workers, against the university hosting DHS and ICE-affiliated agencies, for a formal apology from the administration",1,Workers
against Israeli prime minister Benjamin Netanyahu's leadership of genocide in Gaza; for Palestinian liberation,0,Gaza
against freeze on funding for U.S. Environmental Protection Agency; for climate action,0,Environment
against Israeli prime minister Benjamin Netanyahu's visit to DC; for arresting Netanyahu for war crimes; against genocide in Gaza; for Palestinian liberation,0,Gaza
"against Elon MuskÃÂ¢ÃÂÃÂs influence in U.S. government, for transparency in federal leadership, against the elimination of USAID, for humanitarian aid and global credibility, against the misuse of sensitive government data, for congressional oversight on government agencies, against mass layoffs and federal worker buyouts, for protecting jobs and economic stability, against corporate control of government operations",1,Workers
"against Elon MuskÃÂ¢ÃÂÃÂs influence in U.S. government, for transparency in federal leadership, against the elimination of USAID, for humanitarian aid and global credibility, against the misuse of sensitive government data, for congressional oversight on government agencies, against mass layoffs and federal worker buyouts, for protecting jobs and economic stability, against corporate control of government operations",1,Musk/DOGE
"against Elon MuskÃÂ¢ÃÂÃÂs influence in U.S. government, for transparency in federal leadership, against the elimination of USAID, for humanitarian aid and global credibility, against the misuse of sensitive government data, for congressional oversight on government agencies, against mass layoffs and federal worker buyouts, for protecting jobs and economic stability, against corporate control of government operations",1,LGBTplus
"against House Bill 83, for immigrant rights and protections, against unjust deportation policies, for due process and fair treatment of undocumented migrants, against criminalizing immigrant communities, for humane and compassionate immigration laws, against fear-based immigration enforcement",1,Immigration
against Trump adminstration policies; for LGBTQIA rights; for immigration rights; for DEI,0,Immigration
against Trump adminstration policies; for LGBTQIA rights; for immigration rights; for DEI,0,LGBTplus
"against hate speech in schools, for accountability of school staff, against social media posts that target students, for a welcoming and inclusive school environment, against discrimination against Latino students, for protecting students from harmful rhetoric, against school employees promoting xenophobia, for cultural pride and respect, against burning national symbols as an act of hate",1,Environment
against ICE raids and immigrant deportations; for workers' rights,0,Immigration
against ICE raids and immigrant deportations; for workers' rights,0,Workers
against ICE raids and immigrant deportations; for immigration reform,0,Immigration
for divesting Michigan State University from Israel; for Palestinian liberation,0,Gaza
"against unfair labor practices at Lamell Lumber, for fair wages and improved housing for immigrant workers, against employer retaliation for wage demands, for workplace dignity and safety, against threats of eviction tied to employment, for holding employers accountable to fair labor standards, against unilateral pay cuts imposed on workers, for collective bargaining rights, against workplace intimidation tactics",1,Immigration
"against unfair labor practices at Lamell Lumber, for fair wages and improved housing for immigrant workers, against employer retaliation for wage demands, for workplace dignity and safety, against threats of eviction tied to employment, for holding employers accountable to fair labor standards, against unilateral pay cuts imposed on workers, for collective bargaining rights, against workplace intimidation tactics",1,Workers
for supporting the union's ongoing contract campaign; for strengthening union voices and ensuring their labor is properly recognized,0,Workers
"against Donald TrumpÃÂ¢ÃÂÃÂs immigration policies, for protecting immigrant families from deportation, against the removal of limitations on ICE arrests in schools, churches, and hospitals, for ensuring children feel safe seeking medical help, against the targeting of nonviolent immigrants, for recognizing the struggles of migrants crossing the desert for a better life, against criminalizing undocumented entry without considering the circumstances, for keeping communities intact and families together",1,Immigration
against Donald TrumpÃÂ¢ÃÂÃÂs immigration policies; for protecting immigrant families from deportation; for immigrant rights,0,Immigration
"against ICE deportations separating Hispanic families, for immigrant rights and dignity, against policies that instill fear in immigrant communities, for keeping families together without the threat of deportation, against the criminalization of undocumented immigrants, for the right of students to stand in solidarity with their peers, against government actions that target Hispanic communities, for a humane and just immigration policy, against the silence and inaction that enable discrimination",1,Immigration
"against Donald TrumpÃÂ¢ÃÂÃÂs immigration policies, against Ron DeSantis' immigration policies, for supporting immigrant families, against ICE raids instilling fear in communities, for recognizing immigrants' contributions to local businesses, against labeling immigrants as criminals, for allowing immigrant families to live without fear",1,Immigration
against ICE raids; for immigrant rights; against immigrant deportations; against President Trump; against Elon Musk,0,Immigration
against ICE raids; for immigrant rights; against immigrant deportations; against President Trump; against Elon Musk,0,Musk/DOGE
"against dividing school districts based on race and class, for maintaining educational unity, against segregating students by socioeconomic status, for equal access to resources across all schools, against dismantling an inclusive learning environment, for students' rights to voice concerns through peaceful protest, against political decisions that harm educational equity, for ensuring all Keller ISD students receive the same opportunities",1,Environment
"against TrumpÃÂ¢ÃÂÃÂs immigration policies, for standing up for immigrant families, against mass deportations, for keeping families together, against the fear and uncertainty facing undocumented students, for students using their voices to demand justice, against the dehumanization of immigrants, for recognizing the humanity of all people, against school staff attempting to suppress student activism, for the right to protest peacefully",1,Immigration
"against unfair labor conditions at Kaiser Permanente, for increased staffing to improve patient care, against excessive appointment wait times for mental health services, for equitable wages and benefits for Southern California mental health workers, against Kaiser's alleged understaffing that strains workers and patients, for equal retirement benefits for mental health workers, against Kaiser's refusal to negotiate until March, for fair labor practices and contract negotiations",1,Workers
against ICE raids and immigrant deportations; against militarization of O'odham tribal lands; against police brutality; for Palestinian liberation; against genocide,0,Gaza
against ICE raids and immigrant deportations; against militarization of O'odham tribal lands; against police brutality; for Palestinian liberation; against genocide,0,Immigration
against ICE raids and immigrant deportations; against militarization of O'odham tribal lands; against police brutality; for Palestinian liberation; against genocide,0,Racial Justice
against disenfranchisement of tens of thousands of North Carolina voters; for voting rights; against racism,0,Racial Justice
"against Donald Trump's deportation push; against mass deportations, for immigrant rights, against fear-based immigration policies, for protecting undocumented families, against ICE raids in communities",0,Immigration
against General Dynamics; against weapons manufacturing in Maine; for Palestinian liberation,0,Gaza
against ICE raids and immigrant deportations; against ending birthright citizenship,0,Immigration
for Gov. Spencer Cox to veto HB267; for collective bargaining rights for Utah public sector unions,0,Workers
"against ICE enforcement in the Santa Maria community, for the protection of immigrant families from deportation, against fear-driven immigration policies that target students and their families, for the right to peacefully protest without intimidation, against the criminalization of undocumented immigrants, for the ability of students to speak up about social justice issues, against policies that separate families and disrupt lives, for a humane approach to immigration enforcement, against the presence of ICE in schools and communities, for the right to education without fear of deportation,",1,Immigration
"against TrumpÃÂ¢ÃÂÃÂs mass deportation plans, for immigrant rights and dignity, against forced family separations, for unity and solidarity among Black and Brown communities, against xenophobia and exclusionary policies, for Tulsa recognizing and embracing its immigrant population, against policies that create fear and instability",1,Immigration
against Israeli prime minister Benjamin Netanyahu's visit to DC; for arresting Netanyahu for war crimes; for ending all U.S. aid to Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against president Trump's policies,2,Trump
against immigrant deportations and family separations; against ICE; against President Trump,0,Immigration
against immigrant deportations and family separations;against ICE; against President Trump,0,Immigration
against immigrant deportations and family separations; against racism; against President Trump,0,Racial Justice
"against mass deportations and fear-driven immigration policies, for immigrant rights and family unity, against the targeting of hardworking migrants and racial profiling, for dignity and respect for all individuals regardless of legal status, against ICE raids that instill fear in communities, for due process and legal protections for immigrants, against the criminalization of migration and asylum-seeking, for comprehensive immigration reform and pathways to citizenship, against policies that separate families and undermine community trust, for recognizing immigrantsÃÂ¢ÃÂÃÂ contributions to the economy and society, against xenophobia and anti-immigrant rhetoric",1,Immigration
against ICE raids and immigrant deportations; against President Trump; against Project 2025,0,Immigration
for unionization of workers at Amazon RDU1 facility; for collective bargaining rights,0,Workers
against Gov. Mike Braun's executive order mandating law enforcement in Indiana cooperate with ICE agents; against ICE raids and immigrant deportations,0,Immigration
in solidarity with Carmen; against Zionist attacks on pro-Palestine protester; for Palestinian liberation,0,Gaza
in celebration of Lunar New Year; against displacement and gentrification in Chinatown;  against imperialism; for Palestinian liberation,0,Gaza
against Elon Musk and the Department of Government Efficiency; against President Trump's abuse of executive power; for democracy,0,Musk/DOGE
for divesting Yale University from Israel; for public negotiations between Board of Trustees and students; against genocide in Gaza; for Palestinian liberation,0,Gaza
against ICE raids and immigrant deportations; against President Trump,0,Immigration
against the economic and social impacts of increased federal immigration enforcement; against the ICE's increased presence in Norristown,0,Immigration
for Palestinian liberation; in solidarity with all struggles against oppression; against ICE raids and immigrant deportations,0,Gaza
for Palestinian liberation; in solidarity with all struggles against oppression; against ICE raids and immigrant deportations,0,Immigration
for immigrant rights; against ICE raid and immigrant deportations; for protections for immigrants in New Jersey,0,Immigration
against the Trump administration policies to dismantle federal agencies and programs; against federal funding freeze; for protecting the LGBTQ-plus community; for democracy,0,LGBTplus
in support of President Trump's immigration policies; against anti-ICE demonstration,0,Immigration
against ethnic cleansing and genocide in Gaza; for Palestinian liberation,0,Gaza
against Israel's continuing attacks on Palestine and Lebanon; against genocide in Gaza; for Palestinian liberation,0,Gaza
against president Trump's policies; against ICE raids and immigrant deportations; for trans rights; for reproductive rights,0,Abortion
against president Trump's policies; against ICE raids and immigrant deportations; for trans rights; for reproductive rights,0,LGBTplus
against president Trump's policies; against ICE raids and immigrant deportations; for trans rights; for reproductive rights,0,Immigration
"against Elon Musk's involvement in the White House, against the new Department of Government Efficiency",1,Musk/DOGE
against anti-trans discrimination; against President Trump's executive orders attacking trans people,0,LGBTplus
for unity solidarity and humanity; for migrant rights; for transgender rights,0,Immigration
for unity solidarity and humanity; for migrant rights; for transgender rights,0,LGBTplus
