Claim,Claim Count,Issues
for the department of education,0,
against the trump administration; against Elon Musk's involvement in the US government; against DOGE cuts to federal programs,0,Musk/DOGE
against federal cuts made by DOGE; for a town hall with Representative Mike Turner,0,
against US aid for Israel; for Palestinian liberation; for arms embargo against israel; for ceasefire in gaza; for the release of mahmoud khalil;,0,Gaza
against potential cuts to Medicaid,0,Healthcare
against legislator that targets immigrants; for immigrant rights; against mass deportations,0,Immigration
against a hate crime that occurred at the Prayer for Ramadan on March 7th; against attacks on Muslim people,0,
against federal cuts to the US Department of Education,0,
for ceasefire in Gaza; against Trump administration's support for Israel; for Palestinian liberation; for the release of Mahmoud Khalil,0,Gaza
against Trump administration proposal to annex the Gaza Strip; for Palestinian liberation; against President Trump; against takeover of Gaza strip,0,Gaza
for ceasefire in Gaza; for Palestinian liberation; against US aid to Israel,0,Gaza
for ceasefire in Gaza; for Palestinian liberation; against US aid to Israel; for arms embargo against israel; for the release of mahmoud khalil,0,Gaza
for the release of mahmoud khalil; for ceasefire in Gaza; for Palestinian liberation; against US aid to Israel,0,Gaza
for Judge Susan Crawford for Wisconsin Supreme Court; for abortion rights,0,Abortion
against the dismantling of the department of education,0,
against the dismantling of the department of education; for Palestinian liberation; for free speech,0,Gaza
for SB 190; for allowing physician assistants to join the PA Licensure Compact,0,
against President Trumps cuts to social services and federal programs; for democracy,0,Trump
against the Trump administration; against DOGE; against Elon Musk's involvement in the government,0,Musk/DOGE
for ceasefire in Gaza; for Palestinian liberation; against US aid to Israel; for arms embargo against israel; for the release of Mahmoud Khalil; Jews say stop arming Israel,0,Gaza
against president trump's attempts to dismantle the department of education,0,Trump
against President Trumps attempts to dismantle the department of education,0,Trump
against the Trump administration cutting university federal funding nationwide; for free speech; for the release of Mahmoud Khalil; against the arrest and detention of Mahmoud Khalil,0,Trump
in commemoration of Immigrant's Day; for immigrant rights; against President Trump targeting immigrants; against ICE mass deportations,0,Immigration
against President Trump and DOGE cutting federal programs; against Trumps mass layoffs of federal employees,0,Musk/DOGE
against senate bill 1; for DEI; against the banning of DEI initiatives,0,
against the killings by police of Noe Rodriguez and Jose Velasquez; for accountability and transparency regarding the killings of Rodriguez and Velasquez by Santa Ana police,0,LGBTplus
against potential cuts to Medicaid; against Rep. Mike Turner supporting the Trump administration; for democracy,0,Healthcare
for the workers protection act; for SB 25-005; for legislator that allows workers in Colorado to unionize; for workers rights,0,Workers
against ICE raids and immigrant deportations; for the release of Jeanette Vizguerra; for immigrant rights; for the release of mahmoud khalil; for tibetan liberation; for palestinian liberation,0,"Gaza, Immigration"
against the deportation of students; against the detention and deporation of mahmoud khalil; for freedom of speech; for demoracy; against President Trump,0,Immigration
against President Trump's cuts to social services; against federal funding cuts to government programs,0,Trump
against cuts to the department of edcuation; for funding for education,0,
for the release of Mahmoud Khalil; against the arrest of Mahmoud Khalil; for free speech; for Palestinian liberation; for a ceasefire in Gaza,0,Gaza
against the war in Ukraine; for freedom for Ukraine; for democracy; for the US aiding Ukraine,0,
for ceasefire in Gaza; against genocide in Gaza; for Palestinian liberation; for arms embargo against israel,0,Gaza
against service cuts to the Muni transit system in San Francisco,0,LGBTplus
against Israel's airstrikes across the Gaza strip; for an arms embargo; for Palestinian liberation,0,"Gaza, Workers"
against president Trump; against ICE; for the release of Mahmoud Khalil and Leqaa Kordia; against genocide in Gaza; for Palestinian liberation,0,Gaza
against genocide in Gaza; against bombing Yemen; for Palestinian liberation,0,Gaza
against proposed state-level and federal level cuts to public schools budget,0,
against the fossil fuel industry; for the CalPERS board to divest from fossil fuels,0,Environment
in support of VA hospital workers,0,Workers
against president trump's cuts to medicaid; for funding for medicaid,0,Healthcare
against layoffs at the CDC,0,
against the arrest of Jeanette Vizguerra by ICE,0,
for palestinian liberation; against local and Maryland state involvement in the Israel-Palestine war,0,Gaza
in solidarity with impoverished people; against regressive tax laws,0,
against President Trump's anti-trans policies; for transgender rights; for LGBTQ+ rights,0,LGBTplus
count pic,0,
state workers against the return-to-office mandate,0,Workers
against the murder of Emily Pike; for the protection of native women's rights,0,Abortion
for palestinian liberation; against the detenction of mahmoud khalil;,0,Gaza
against textron's business dealings with israel; for ceasefire in gaza; for palestinian liberation; for an arms embargo against israel,0,Gaza
against Musk; against Trump; against DOGE; for democracy; for boycotting Tesla; for causing reduction in Tesla stock value; against Medicaid cuts; against social security cuts,0,"Healthcare, Musk/DOGE"
against Rep. Austin Scott's support of the Trump administration; against Trump; against federal cuts,0,Trump
against Musk; against Trump; against DOGE; for democracy; for boycotting Tesla; for causing reduction in Tesla stock value; against the detention and deportation of Mahmoud Khalil; for freedeom of speech; against security forces on educational campuses; against the Trump adminstration's policies; for palestinian liberation,0,"Gaza, Immigration, Musk/DOGE"
against the Trump adminstration's policies; against federal cuts,0,Trump
against fox news; against the trump administration; against Musk,0,Musk/DOGE
against genocide in Gaza; for Palestinian liberation; against detention and deportation of Mahmoud Khalil,0,"Gaza, Immigration"
against the detention and deportation of Mahmoud Khalil; for freedeom of speech; against security forces on educational campuses; for palestinian liberation; against president trump; against US alignment and cooperation with Israel,0,"Gaza, Immigration"
in solidarity with mahmoud khalil; for palestinian liberation; againt the detention and deportation of mahmoud khalil,0,"Gaza, Immigration"
in remembrance of Palestinian children killed in Gaza; against genocide in Gaza; against Israeli occupation and apartheid; for Palestinian liberation; against detention and deportation of Mahmoud Khalil,0,"Gaza, Immigration"
against Trump's actions on veteran programs,0,Trump
against layoffs within the department of education; against the dismantling of the department of education,0,
against layoffs within the department of federal affairs; for veterans,0,
against violations of due process in Mack Mulla's trial; for the release of Mack Mulla; for equality within the criminal justice system; in solidarity with Mulla family,0,
against Musk; against DOGE,0,Musk/DOGE
for the release of all palestinian prisonsers; for ceasefire in gaza; for palestinian liberation; for an arms embargo against israel,0,Gaza
against living conditions at the US ICE facility in Baltimore,0,Immigration
for ceasefire in Gaza; for Palestinian liberation; against US aid to Israel; for arms embargo against israel,0,Gaza
against the Trump administration's policies against lawful protest and immigration,0,Immigration
against federal budget cuts to Medicaid,0,"Healthcare, Musk/DOGE"
for ceasefire in Gaza; for arms embargo against Israel; for Palestinian liberation,0,Gaza
"against antisemitism; in support of an investigation into an incident where an unknown group took over the Franklin County Commission's zoom meeting and played an antisemitic, racist, and pornographic video",0,
for ceasefire in Gaza; for Palestinian liberation; against US aid to Israel; for arms embargo against israel; against Raytheon,0,Gaza
against maersk's business dealings with israel; against genocide in Gaza; for Palestinian liberation; for arms embargo against israel;,0,Gaza
against President Trumps cuts to Medicaid and Social Security; for social services; for democracy,0,Healthcare
against federal and state funding cuts in Indiana; against healthcare cuts; against childcare cuts; against tax cuts,0,Healthcare
for better services for people with disabilities,0,
against the deportation of Dr. Rasha Alawieh; against the Trump adminstration's policies,0,Immigration
against israel; for ceasefire in Gaza; for palestinian liberation,0,Gaza
for demanding Long Beach city Council members to remove Space X from the city; against Elon Musk; against DOGE,0,Musk/DOGE
for Palestinian liberation; against genocide; for a ceasefire in Gaza,0,Gaza
for ceasefire in Gaza; for Palestinian liberation; for ending US aid to Israel; for arms embargo on Israel; for divesting UC from Maersk; against the suspension of both SJP and Graduate SJP at UCLA; against the arrest of Mahmoud Khalil; against the targeting of student protesters,0,Gaza
for free speech; in solidarity with victims in the Democratic Republic of Congo; in solidarity with victims in Sudan; for palestinian liberation,0,Gaza
against DOGE; against president trump; against layoff of federal workers; against cuts to federal healthcare services; against elon musk,0,"Healthcare, Musk/DOGE, Workers"
against Maersk's business with the Israeli state; for palestinian liberation,0,Gaza
in commemoration of Latino/a Advocacy Day; for immigrant rights,0,Immigration
against Elon Musk; against DOGE,0,Musk/DOGE
for a town hall with Representative Brian Fitzpatrick,0,
against proposed medicaid cuts,0,Healthcare
against detention of mahmoud khalil; against dan goldman's refusal to condemn the detention of khalil,0,
against the detention and deportation of mahmoud khalil; for democracy; against the Trump adminstration's policies,0,Immigration
"in commemoration of National Agriculture Day; against the Michigan Department of Environment, Great Lakes, and Energy making it difficult for Michigan farmers to find work; for farmers rights",0,Environment
for higher pay and better benefits; against Nu-Tech leaders accused retaliatory firings disability discrimination and threats related to unionization efforts,0,Workers
for the passing of HB11; for paid family and medical leave in New Mexico,0,
against Sugar Land City Council resolutions silencing Muslim and pro-peace voices; against Islamophobia and bigotry; for freedom of speech; against genocide in Gaza; for Palestinian liberation,0,Gaza
for women's rights; against domestic violence,0,Abortion
against immigrant deportations and ICE raids; for making Tallahassee a sanctuary city for migrants,0,Immigration
against President Trump; against racism; against threats to public education,0,Racial Justice
against immigrant deportations and family separations; for passage of Safe Communities Act; for state legislation that would bar state and local law enforcement from cooperating with ICE; for more state support for legal services for migrants facing deportation,0,Immigration
against event at Queens University of Charlotte honoring Central Piedmont Community College president Dr. Kandi Deitemeyer; against Dr. Kandi Deitemeyer's complicity in construction of new police training facility in Charlotte; against police brutality; against racism; for environmental conservation,0,"Environment, Racial Justice"
for immigrants knowing their rights; against deportations; for protection for immigrants,0,Immigration
against Donald Trump; against Trump's executive order; against Project 2025; for immigrants' rights; for protection for immigrants; against deportations,0,Immigration
against Donald Trump; against Trump's executive orders; against fascism; against deportations; for LGBTQ+ rights,0,"Immigration, LGBTplus"
against President Trump's abuse of power; against Elon Musk's role in the government; against DOGE,0,Musk/DOGE
against a proposed City Council resolution that would allow local police officers to assist federal agents in deporting undocumented migrants;,0,Immigration
against anti-DEI initiatives; for DEI,0,
against immigrant deportations and family separations; against ICE,0,Immigration
for gun reform; for gun control; against gun violence; against the school shooting at Antioch High School; for justice for school shooting victim Josselin Corea Escalante; for an expansion of the upcoming Tennessee state legislative special session to address school shootings,0,Gun Control
for divesting Princeton University from Israel; against apartheid in Israel; against Zionism; for Palestinian liberation,0,Gaza
against a proposed settlement with SeaWorld that would require the theme park to pay San Diego $8.5 million in back rent that went unpaid during the pandemic; for SeaWorld paying the full amount of back rent owed to San Diego; for the San Diego City Council to release the settlement and accept public comment; for animal rights; against SeaWorld's animal abuse,0,
for divesting Stony Brook University from Israel; for Palestinian liberation,0,Gaza
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center; for freeing all detained migrants; for abolishing ICE; in remembrance of Jose Manuel Sanchez-Castro,0,Immigration
for universal childcare access; for the creation of a 1.2 billion workforce compensation fund; for increasing pay for childcare providers,0,
against Elizabethtown School board voting in favor of oppresive gender related policies; for transgender rights,0,LGBTplus
against the Laken Riley Act; against immigrant deportations,0,Immigration
against event at Ohio State University featuring Israel Defense Forces veterans as speakers; against genocide in Gaza; against the normalization of Zionism; for Palestinian liberation,0,Gaza
for justice for Cornelius Taylor; against sweeps of homeless encampments; against gentrification and displacement,0,
against immigrant deportations; for stronger protections for undocumented students at University of California,0,Immigration
against Massachusetts Institute of Technology's collaboration with Elbit Systems; against genocide in Gaza; for Palestinian liberation,0,"Gaza, Workers"
for supporting Senate bill 3; against gun violence; for gun regulations,0,Gun Control
for transgender peoples' rights; for trans unity; against Donald Trumps executive orders,0,LGBTplus
agaisnt Donald Trump's executive orders; against federal immigration raids; for immigrant rights,0,Immigration
agaisnt Donald Trump's executive orders; against federal immigration raids; for immigrant rights; for LGBTQ+ rights; for women's rights; for reproductive rights,0,"Abortion, Immigration, LGBTplus"
for a fair contract for graduate student workers at University of Iowa; for higher pay,0,Workers
against Donald Trump's executive orders; against deportations; for reproductive rights,0,"Abortion, Immigration"
against Donald Trump's agenda while being in office; against immigrant deportations; for transgender rights; for human rights; for womens rights; against fascism; for human rights; for reproductive rights,0,"Abortion, Immigration, LGBTplus"
against Donald Trump; againt Donald Trump's executive orders,0,Trump
against ICE; against immigrant deportations and family separations,0,Immigration
against immigrant deportations; for LGBTQ+ rights; for reproductive rights; for women's rights; against fascism; against racism; against President Trump,0,"Abortion, LGBTplus, Racial Justice"
against Donald Trump; against Trump's executive orders; against deportations; against cuts to social services,0,"Immigration, Musk/DOGE"
for school choice in Wisconsin; for parents having the option to choose which school to send their children to; for alternatives to public school,0,
in remembrance of Hind Rajab and other Palestinian children killed in Gaza; in remembrance of all victims of U.S. and Israeli imperialism; for Palestinian liberation,0,Gaza
against retaliation against teacher Alondra Garcia for providing information about legal services available to families potentially facing deportation; for full implementation of Safe Haven program in Milwaukee public schools; against immigrant deportations and family separations; against President Trump,0,Immigration
against Donal Trump's executive orders; for protection for transgender people; for trans' rights,0,LGBTplus
against Donald Trump's executive orders; for birthright citizenship,0,Trump
against state legislation that would incentivize enforcing federal immigration laws and create criminal penalties for officials who adopt sanctuary policies and require their removal from office upon conviction; against HB 6001,0,Immigration
in remembrance of Hind Rajab and other Palestinian children killed in Gaza; for Palestinian liberation,0,Gaza
against the closure of the Park Slope Starbucks; for transparency for Starbucks union employees; against unfair labor practices for Starbucks employees,0,"LGBTplus, Workers"
against ICE raids on schools; against immigrant deportations,0,Immigration
against ICE raids and detentions in Philadelphia; against immigrant deportations,0,Immigration
against immigrant deportations; against President Trump; against racism; against fascism,0,Racial Justice
against genocide in Gaza; for ceasefire in Gaza; for Palestinian liberation,0,Gaza
in commemoration of International Holocaust Rememberance Day; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Miriam restaurant's support for Zionism; against appropriation of Palestinian cuisine and culture by Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
in celebration of victory by Palestinian resistance and release of Palestinian prisoners; for Palestinian liberation,0,Gaza
for bilateral ceasefire in Gaza; for release of all hostages held by Hamas and Israel; for Israel prime minister Benjamin Netanyahu's resignation; for humanitarian aid to Gaza; against starvation in Gaza; for lifting Israel's siege on Gaza; for ending Israel's occupation; for Palestinian liberation,0,Gaza
against the suffering of families and children in Gaza; for permanent ceasefire in Gaza; for lifting Israel's siege on Gaza; for ending Israel's occupation of Palestine; Palestinian liberation,0,Gaza
against abuse of Black babies at Henricho Doctors' Hospital by staff nurse; against racial bias in health care,0,Healthcare
against L3Harris and other weapons manufacturers; against genocide in Gaza; for Palestinian liberation,0,Gaza
against immigrant deportations; for immigrants' rights; against ICE raids,0,Immigration
for reproductive freedom; against pro-life rally,0,
for peace and justice in Gaza and everywhere; for Palestinian liberation,0,Gaza
against Chevron's complicity in genocide in Gaza; for boycotting Chevron; for Palestinian liberation; for climate justice; for Indigenous sovereignty,0,"Environment, Gaza"
for ceasefire in Ukraine; for withdrawing Russian troops from Ukraine; against NATO expansion; for peace,0,
for permanent ceasefire in Gaza; against U.S. military aid to Israel; for Palestinian liberation,0,Gaza
against genocide in Gaza; against Israel's attacks on Lebanon; for arms embargo on Israel; in support of BDS movement; for Palestinian liberation,0,Gaza
against immigrant deportations; for immigrants' rights,0,Immigration
against an Idaho legislative petition that calls on the U.S. Supreme Court to overturn its same-sex marriage ruling; for LGBTQ+ rights,0,LGBTplus
for permanent ceasefire in Gaza; for humanitarian aid to Gaza; for full hostage exchange; for ending Israel's occupation; for diplomacy; for justice and equality and freedom for Israelis and Palestinians,0,Gaza
for Indigenous peoples' liberation; for Palestinian liberation,0,Gaza
against Donald Trump's immigration policies; for immigrants' rights,0,Immigration
for justice for Jimmy Lopez; against police brutality; for police accountability,0,Racial Justice
against immigrant deportations and family separations; against ICE raids,0,Immigration
against U.S. Rep. Chris Pappas' vote for national defense bill that would end medical coverage for trans youth of veterans and active service members; against U.S. Rep. Chris Pappas' support for genocide in Gaza and imperialist wars in Syria and Yemen; for Palestinian liberation; for LGBTQ+ rights,0,"Gaza, LGBTplus"
for reproductive freedom; against March for Life rally,0,
for gun reform; for gun control; against gun violence; against the school shooting at Antioch High School; in rememberance of Josselin Corea Escalante,0,Gun Control
for immigrant protections; against immigrant deportations; against private school vouchers; for investing in public schools,0,Immigration
against genocide in Gaza; for Palestinian liberation; for collective liberation; against imperialism,0,Gaza
in remembrance of Palestinian children killed in Gaza; against genocide in Gaza; against Israeli occupation and apartheid; for Palestinian liberation,0,Gaza
in celebration of ceasefire in Gaza; in remembrance of Palestinians killed in Gaza; against genocide in Gaza; for Palestinian liberation,0,Gaza
for immediate ceasefire in Gaza; for peace; for Palestinian liberation,0,Gaza
for ceasefire in Gaza; against U.S. support for Israel's attack on Gaza; for Palestinian liberation,0,Gaza
against event at Oheb Shalom synagogue supporting Israel Defense Forces; for Palestinian liberation,0,Gaza
against pro-Palestine protest; in solidarity with Israel,0,Gaza
against systemic racism; for equal justice for all,0,Racial Justice
for immediate and permanent ceasefire in Gaza; against genocide in Gaza; against conflation of opposition to genocide with antisemitism; for Palestinian liberation,0,Gaza
for ceasefire in Gaza; for arms embargo on Israel; for Palestinian liberation,0,Gaza
for prison reform; for justice for Robert Brooks; against violence in prisons; for increasing the stateÃÂ¢ÃÂÃÂs oversight over the state prison system,0,
for bills A1200 and S415 in the New York state legislature; against New YorkÃÂ¢ÃÂÃÂs two-tier wage system for tipped workers; for requiring employers to pay a full minimum wage with tips on top; for workers' rights,0,Workers
against proposed city legislation that would criminalize drag shows; against anti-LGBTQ+ bigotry,0,LGBTplus
in commemoration of International Holocaust Remembrance Day; against genocide in Gaza; for Palestinian liberation,0,Gaza
for justice for Robert Brooks; against police violence; against racism; against deaths in custody at the El Paso County Jail,0,Racial Justice
against genocide in Gaza; for immediate and permanent ceasefire in Gaza; for freeing all Israeli and Palestinian prisoners and hostages; for ending Israel's siege on Gaza and settler violence in the West Bank; for Palestinian liberation; for building community in Durango,0,Gaza
in celebration of ceasefire in Gaza; for lifting Israel's siege on Gaza; for ending Israel's occupation of Palestine; for Palestinian liberation,0,Gaza
in commmemoration of Martin Luther King Jr. Day; against racism; against inequality; against discrmination; against police brutality; against sexism; against religious discrimination; against anti-LGBTQ+ bigotry; for immigrants' rights,0,"LGBTplus, Racial Justice"
for Palestinian liberation; for Indigenous peoples' solidarity,0,Gaza
for peace in Gaza; for Palestinian liberation,0,Gaza
for peace; for ceasefire in Gaza,0,Gaza
for peace; for gun control; for climate action,0,"Environment, Gun Control"
against genocide in Gaza; for ending U.S. aid to Israel; for ceasefire in Gaza; for Palestinian liberation,0,Gaza
against immigrant deportations; against ICE,0,Immigration
against immigrant deportations; against ICE; against hate,0,Immigration
against immigrant deportations; against President Trump's immigration policies; for immigrant rights,0,Immigration
against ICE deportations and its effects on students; for safety for immigrant students and their families,0,Immigration
in remembrance of Hind Rajab and all Palestinian children killed by Israel in Gaza; for Palestinian liberation,0,Gaza
against Lack of Democratic party leadership; for action by Democratic leaders; against President Trump,0,Trump
in commemoration of Martin Luther King Jr Day,0,
against President Trump; for women's rights; for reproductive rights; for democracy; for immigrants' rights; for LGBTQ+ rights; against racism,0,"Abortion, LGBTplus, Racial Justice"
against the establishment of possible ICE facility in Pflugerville; against immigrant deportations; against ICE,0,Immigration
against Chevron's complicity in genocide in Gaza; for boycotting Chevron; for Palestinian liberation; for climate action,0,"Environment, Gaza"
against immigrant deportations; against attacks on LGBTQ+ people; for affordable housing; for solidarity; for democratic organizing,0,"Immigration, LGBTplus"
for transgender peoples' rights; for trans unity,0,LGBTplus
for Palestinians' right of return; for Palestinian liberation,0,Gaza
in support of Costco for for preserving DEI programs; against Donald Trump's policies,0,Trump
for release of Dr. Hussam Abu Safiya and other Palestinian healthcare workers held by Israel; in remembrance of Hind Rajab; for Palestinian liberation,0,"Gaza, Healthcare, Workers"
against President Trump and Elon Musk's cooptation of U.S. Office of Personnel Management; for democracy; against corruption,0,Musk/DOGE
against immigrant deportations and family separations; against ICE raids; for protection from national deportation mandates; for making Baton Rouge a sanctuary city,0,Immigration
for ceasefire in Gaza; for humanitarian aid to Gaza; for full hostage exchange; for ending Israel's occupation; for diplomacy; for justice and equality and freedom for Israelis and Palestinians,0,Gaza
for racial justice; against police brutality and state violence; against patriarchy,0,Racial Justice
against immigrant deportations and family separations; against ICE raids; for citizenship for all undocumented migrants,0,Immigration
for permanent ceasefire in Palestine; for ending U.S. aid to Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
in support of the transgender and LGBTQ+ community; against President Trump's executive orders attacking transgender people,0,LGBTplus
in solidarity with immigrants; against immigrant deportations; for abolishing ICE,0,Immigration
for reform in New York stateÃÂ¢ÃÂÃÂs prisons; for accountability within correctional facilities; for justice for Edward Sholtz and Robert Brooks,0,
against Donald Trump; for transgender rights; for reproductive rights; against the first two weeks of the Trump administration,0,"Abortion, LGBTplus"
against NYU Langone Hospital's compliance with President Trump's executive order banning gender-affirming health care for transgender youth,0,"Healthcare, LGBTplus"
"against The New York Times newspaper's role in spreading misinformation and enabling genocide in Gaza; for retracting ""Screams Without Words"" story; for a call from the New York Times for a U.S. arms embargo on Israel; for investigating anti-Palestinian bias in New York Times coverage; for Palestinian liberation",0,Gaza
"against anti-LGBTQ+ legislation, for protecting immigrant rights, against criminalizing the unhoused, for human dignity and civil rights, against Senate Bill 484 restricting aid to the unhoused, for municipalitiesÃÂ¢ÃÂÃÂ rights to care for vulnerable populations, against fear-based policymaking, for love and inclusivity in governance",0,"Immigration, LGBTplus"
against immigrant deportations; against ICE; against President Trump,0,Immigration
against LiveNation event featuring Jordan Peterson; against transphobia; against fascism,0,LGBTplus
against President Trump's agenda; against Project 2025; against white supremacy; for civil rights,0,Trump
against President Trump and Elon Musk's attempted shutdown of the U.S. Agency for International Development; against Department of Government Efficiency; for democracy; against corruption,0,Musk/DOGE
for passage of the NY HEAT Act; for climate action; for renewable energy,0,Environment
"against racial bias in state sentencing laws; for passage of Second Look Act, Earned Time Act, and Marvin Mayfield Act; for criminal justice reform",0,
for state legislation to help protect immigrants against deportations; for passage of the Protecting Sensitive Locations Act and the Maryland Data Privacy Act; for ending 287(g) agreements,0,Immigration
against racist neglect of retirees in Bacon Retirement Community,0,
against University of Georgia reinstating George Haynie after he was exposed for being part of the Aryan Freedom Network; for the firing of George Haynie,0,
against visit to White House by Israel prime minister Benjamin Netanyahu; against President Trump's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
for justice for Timothy Glaze; against police brutality; against racism,0,Racial Justice
against Elon Musk; against Tesla; against Tesla company recruitment event at MSU,0,Musk/DOGE
against President Trump; against ICE raids and immigrant deportations,0,Immigration
against the ICE's presence in Ithaca; against Donald Trump's immigration policies,0,Immigration
for immigration reform; for a pathway to citizenship for all undocumented migrants,0,Immigration
in remembrance of Hind Rajab and all victims of genocide in Gaza; for arms embargo on Israel; for Palestinian liberation,0,Gaza
against Israel's attacks on the West Bank and Gaza and Lebanon; for divesting from Israel; for sanctions on Israel; for ending Israeli occupation and apartheid; for Palestinians' right of return; for Palestinian liberation,0,Gaza
against genocide in Gaza; for Palestinian liberation; for collective liberation; against imperialism; against immigrant deportations; against ICE raids in Inland Empire,0,"Gaza, Immigration"
against an Evening for Gaza fundraiser event; for release of hostages held by Hamas; in solidarity with Israel,0,Gaza
against U.S. Senator Ron Wyden's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump; against Project 2025,0,"Musk/DOGE, Trump"
against immigrant deportations and family separations; for Palestinian liberation,0,"Gaza, Immigration"
against Governor Mike Braun's executive order ordering the state to fully cooperate with the federal government's immigration policies; against immigrant deportations and family separations,0,Immigration
"against state censorship of what Florida students have a right to learn; for Florida to to stop attacks on courses and content that promote diversity, equity and inclusion",0,
for transgender peoples' rights; for trans unity; for access to gender affirming care,0,LGBTplus
against Target's changes in DEI programs; against Donald Trumps efforts to end DEI programs; for boycotting target,0,Trump
against Governor Lee's school vouchers; against immigration bill,0,Immigration
against Mayor Eric Adams; against police brutality; against racism; against corruption,0,Racial Justice
against U.S. Representative Jake Auchincloss's support for Israel; for arms embargo on Israel; against Israel's attacks on the West Bank; for Palestinian liberation,0,Gaza
for immigrants rights; against mass deportations; for healthcare and unemployment insurance for undocumented immigrants,0,"Healthcare, Immigration"
for announcing that Penn associates and postdocs have reached majority support to unionize; for a contract entailing better pay better benefits better job security and better protections for international workers,0,Workers
against delays in recognition of graduate student workers' union at University of Rochester; for collective bargaining rights,0,Workers
for immigrant rights; for reproductive rights; for women's rights; for LGBTQ+ rights; for students' rights; against racism; for Palestinian liberation; for climate justice,0,"Abortion, Environment, Gaza, LGBTplus, Racial Justice"
for collective bargaining rights and unionization for restaurant workers; against union-busting at Rasika restaurant,0,Workers
against Chevron's complicity in genocide in Gaza; for divesting Chevron from Tamar and Leviathan gas fields; for Palestinian liberation,0,Gaza
against a seminar hosted by the Elliott School about NATOÃÂ¢ÃÂÃÂs agenda on emerging and disruptive technology; for Palestinian liberation,0,Gaza
against use of Hind Rajab to advance false claims of genocide in Gaza; in solidarity with Israel,0,Gaza
against a rise in transphobia on Illinois State University campus; for LGBTQ+ rights,0,LGBTplus
in commemoration of the anniversary of Hind Rajab's death; in remembrance of Palestinian children killed in Gaza; for Palestinian liberation,0,Gaza
against Donal Trump's executive orders; for immigrants' rights; against deportations; for women's rights; for LGBTQ+ rights; for human rights,0,"Abortion, Immigration, LGBTplus"
against President Trump; against fascism; for immigrants' rights; for women's rights; for LGBTQ+ rights; for Palestinian liberation,0,"Abortion, Gaza, Immigration, LGBTplus"
against Donald Trump; against deportations; for immigrants' rights,0,Immigration
for continued progress on gun safety in Maryland; for gun safety,0,Gun Control
for LGBTQ+ rights; against conservative Christian demonstrators,0,LGBTplus
against immigrant deportations; against fascism; against racism; against xenophobia,0,Racial Justice
against racism; against transphobia; against hate; against bigotry; for inclusivity and love,0,"LGBTplus, Racial Justice"
against President Trump's immigration policies; against ICE,0,Immigration
against Donald Trump's immigration policies; against Missouri Illegal Alien Certified Bounty Hunter Program Senate Bill 72 and Senate Bill 58,0,Immigration
for women's rights; for LGBTQ+ rights; for immigrants' rights; against racism; for climate action; against book bans; against gun violence,0,"Abortion, Environment, Gun Control, LGBTplus, Racial Justice"
for reproductive freedom; against Walk for Life rally,0,
for immigrants' rights; against President Trump,0,Immigration
against executions of political prisoners in Iran; for democracy and human rights in Iran,0,
against immigrant deportations and family separation; against ICE raids,0,Immigration
against President Trump's executive orders; for immigrants' rights; for trans and queer youth; for reproductive justice; for environmental justice; for universal health care,0,"Environment, Healthcare, Immigration, LGBTplus"
against U.S. support for Israel; against Zionism; for accountability for Israel's war crimes in Gaza; for Palestinian liberation,0,Gaza
for permanent and unconditional ceasefire in Gaza; for Palestinian liberation,0,Gaza
against immigrant deportations and family separations; against U.S. imperialism; against racism; againt anti-trans legislation and violence; for Palestinian liberation,0,"Gaza, LGBTplus, Racial Justice"
against University of Virginia Medical Center's decision to comply with President Trump's executive order banning gender-affirming health care for minors,0,Healthcare
against immigrant deportations; against ICE raids,0,Immigration
against immigrant deportations and ICE raids; for keeping Los Angeles a sanctuary city for migrants,0,Immigration
against immigrant deportations and family separations; against ICE; against President Trump; against racism,0,Racial Justice
against Tel Aviv University's presence in New Jersey; for arms embargo on Israel; for humanitarian aid in Gaza; for ending Israel's attacks on Lebanon and Gaza and the West Bank; for Palestinian liberation,0,Gaza
against Brooklyn Board of Elections' failure to properly count write-in votes for Hind Rajab in 2024 elections; in remembrance of lives lost in Gaza; for Palestinian liberation,0,Gaza
against immigrant deportations; against ICE raids on local workers,0,"Immigration, Workers"
for Palestinian liberation; for climate action,0,"Environment, Gaza"
for holding San Pablo police officer Jonah Norman accountable for hit-and-run incident; against police brutality; for police accountability,0,Racial Justice
against Chevron's complicity in genocide in Gaza; for boycotting Chevron; for Palestinian liberation,0,Gaza
against College Republicans United event at Arizona State University featuring ICE; against immigrant deportations; against fascism; against white supremacy; against antisemitism,0,Immigration
against Textron Aviation's complicity in genocide in Gaza and support for police and border surveillance in the U.S.; for Palestinian liberation,0,"Gaza, Immigration"
against President Trump; for immigrant rights; for women's rights; for education; for LGBTQ+ rights,0,"Abortion, Immigration, LGBTplus"
against Governor Matt Meyers' support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against federal legislation that would facilitate immigrant deportations; against HR 29,0,Immigration
for divesting Dartmouth College from Israel; for Palestinian liberation,0,Gaza
